29;Foreman;0;blocks=1200 ores=7300
79;Worker;0;ore;4
80;Worker;0;block;13
84;Worker;2;ore;17
101;Worker;2;ore;34
106;Worker;3;ore;39
106;Worker;3;block;39
113;Worker;0;ore;21
117;Worker;1;ore;50
117;Worker;1;block;50
121;Worker;3;ore;1
121;Worker;3;block;1
137;Worker;2;ore;70
137;Worker;2;block;70
148;Worker;1;ore;17
149;Worker;0;ore;57
150;Worker;1;block;18
158;Worker;3;ore;15
159;Worker;0;ore;67
182;Worker;3;ore;39
191;Worker;3;ore;48
204;Worker;0;ore;112
213;Worker;2;ore;39
214;Worker;2;block;40
222;Worker;1;ore;37
227;Worker;0;ore;135
233;Worker;0;ore;141
235;Worker;3;ore;92
238;Worker;0;ore;146
242;Worker;2;ore;16
243;Worker;2;block;17
270;Worker;1;ore;85
270;Worker;1;block;85
271;Worker;3;ore;128
287;Worker;0;ore;195
290;Worker;2;ore;36
295;Worker;1;ore;2
296;Worker;1;block;3
315;Worker;0;ore;223
317;Worker;2;ore;63
320;Worker;3;ore;177
321;Worker;0;ore;229
343;Worker;0;ore;251
355;Worker;1;ore;47
357;Worker;0;ore;265
360;Worker;2;ore;106
362;Worker;3;ore;219
376;Worker;2;ore;122
381;Worker;0;ore;289
394;Worker;1;ore;86
399;Worker;3;ore;256
412;Worker;1;ore;104
413;Worker;1;block;105
426;Worker;2;ore;172
432;Worker;0;ore;340
434;Worker;2;ore;180
448;Worker;3;ore;305
455;Worker;1;ore;9
455;Worker;1;block;9
461;Worker;2;ore;207
465;Worker;3;ore;322
465;Worker;3;block;322
469;Worker;0;ore;377
512;Worker;2;ore;258
515;Worker;0;ore;423
517;Worker;1;ore;50
518;Worker;1;block;51
543;Worker;2;ore;289
567;Worker;0;ore;475
568;Worker;0;block;476
591;Worker;2;ore;337
592;Worker;3;ore;20
600;Worker;2;ore;346
622;Worker;1;ore;39
623;Worker;1;block;40
629;Worker;3;ore;57
634;Worker;2;ore;380
654;Worker;3;ore;82
667;Worker;2;ore;413
678;Worker;3;ore;106
683;Worker;2;ore;429
688;Worker;2;ore;434
709;Worker;2;ore;455
721;Worker;3;ore;149
731;Worker;3;ore;159
759;Worker;2;ore;505
761;Worker;3;ore;188
788;Worker;3;ore;216
789;Worker;2;ore;535
797;Worker;0;ore;35
798;Worker;0;block;36
802;Worker;1;ore;30
808;Worker;2;ore;554
811;Worker;2;ore;557
818;Worker;2;ore;564
821;Worker;2;ore;567
821;Worker;3;ore;249
833;Worker;2;ore;579
844;Worker;3;ore;272
848;Worker;1;ore;76
858;Worker;0;ore;48
859;Worker;1;ore;87
859;Worker;2;ore;605
860;Worker;0;block;49
870;Worker;3;ore;298
875;Worker;2;ore;621
876;Worker;3;ore;303
877;Worker;1;ore;103
877;Worker;2;ore;622
887;Worker;2;ore;633
897;Worker;0;ore;25
913;Worker;3;ore;341
921;Worker;2;ore;667
924;Worker;1;ore;152
926;Worker;0;ore;54
927;Worker;0;block;55
931;Worker;2;ore;677
931;Worker;3;ore;359
966;Worker;2;ore;712
974;Worker;1;ore;202
978;Worker;3;ore;406
983;Worker;2;ore;729
987;Worker;1;ore;215
987;Worker;1;ore;215
994;Worker;0;ore;45
995;Worker;0;block;46
997;Worker;1;ore;225
999;Worker;3;ore;425
1016;Worker;1;ore;244
1017;Worker;1;block;245
1034;Worker;2;ore;780
1036;Worker;0;ore;30
1040;Worker;3;ore;468
1040;Worker;3;block;468
1042;Worker;2;ore;788
1060;Worker;2;ore;806
1061;Worker;2;block;807
1065;Worker;0;ore;59
1090;Worker;0;ore;84
1106;Worker;0;ore;100
1138;Worker;0;ore;132
1141;Worker;1;ore;15
1142;Worker;1;block;16
1143;Worker;0;ore;137
1178;Worker;0;ore;172
1197;Worker;0;ore;191
1237;Worker;0;ore;231
1270;Worker;0;ore;264
1301;Worker;0;ore;295
1329;Worker;3;ore;2
1335;Worker;3;ore;8
1341;Worker;3;ore;14
1342;Worker;3;block;15
1344;Worker;0;ore;338
1369;Worker;1;ore;9
1370;Worker;1;block;10
1377;Worker;0;ore;371
1421;Worker;0;ore;415
1467;Worker;0;ore;461
1471;Worker;0;ore;465
1519;Worker;0;ore;513
1554;Worker;0;ore;548
1597;Worker;0;ore;591
1600;Worker;0;ore;594
1650;Worker;0;ore;644
1663;Worker;0;ore;657
1701;Worker;0;ore;695
1722;Worker;0;ore;716
1735;Worker;0;ore;729
1750;Worker;0;ore;744
